country,cause,year,both_sexes_death_rate,male_death_rate,female_death_rate
Afghanistan, Chronic obstructive pulmonary disease,2016,7[ 5–8],7[ 4–9],7[ 6–8]
Albania, Chronic obstructive pulmonary disease,2016,7[ 4–11],9[ 4–14],5[ 3–8]
Algeria, Chronic obstructive pulmonary disease,2016,3[ 2–5],4[ 2–7],2[ 1–4]
Angola, Chronic obstructive pulmonary disease,2016,4[ 3–5],3[ 2–5],4[ 3–5]
Antigua and Barbuda, Chronic obstructive pulmonary disease,2016,2[ 1–4],3[ 1–5],2[ 1–3]
Argentina, Chronic obstructive pulmonary disease,2016,7[ 3–12],7[ 3–12],7[ 3–11]
Armenia, Chronic obstructive pulmonary disease,2016,9[ 5–13],10[ 6–15],8[ 4–12]
Australia, Chronic obstructive pulmonary disease,2016,3[ 1–6],3[ 1–7],3[ 1–6]
Austria, Chronic obstructive pulmonary disease,2016,5[ 2–10],6[ 2–11],5[ 2–9]
Azerbaijan, Chronic obstructive pulmonary disease,2016,3[ 2–5],3[ 2–5],3[ 2–6]
Bahamas, Chronic obstructive pulmonary disease,2016,1[ 0–2],1[ 1–2],1[ 0–1]
Bahrain, Chronic obstructive pulmonary disease,2016,1[ 1–2],1[ 1–2],2[ 1–2]
Bangladesh, Chronic obstructive pulmonary disease,2016,25[ 19–29],27[ 17–35],22[ 18–25]
Barbados, Chronic obstructive pulmonary disease,2016,4[ 2–6],5[ 3–8],3[ 2–5]
Belarus, Chronic obstructive pulmonary disease,2016,4[ 2–6],6[ 3–10],2[ 1–3]
Belgium, Chronic obstructive pulmonary disease,2016,8[ 3–14],9[ 4–17],7[ 3–12]
Belize, Chronic obstructive pulmonary disease,2016,4[ 2–5],5[ 3–7],2[ 2–3]
Benin, Chronic obstructive pulmonary disease,2016,8[ 6–10],7[ 4–9],9[ 7–10]
Bhutan, Chronic obstructive pulmonary disease,2016,20[ 13–26],19[ 11–28],20[ 14–26]
Bolivia (Plurinational State of), Chronic obstructive pulmonary disease,2016,7[ 5–10],7[ 4–10],7[ 5–10]
Bosnia and Herzegovina, Chronic obstructive pulmonary disease,2016,16[ 10–21],18[ 10–27],13[ 8–17]
Botswana, Chronic obstructive pulmonary disease,2016,8[ 5–11],10[ 5–14],6[ 4–8]
Brazil, Chronic obstructive pulmonary disease,2016,5[ 3–8],5[ 2–9],5[ 2–7]
Brunei Darussalam, Chronic obstructive pulmonary disease,2016,1[ 0–2],1[ 0–2],1[ 0–2]
Bulgaria, Chronic obstructive pulmonary disease,2016,12[ 5–21],15[ 7–27],9[ 4–17]
Burkina Faso, Chronic obstructive pulmonary disease,2016,4[ 3–5],4[ 2–5],5[ 4–6]
Burundi, Chronic obstructive pulmonary disease,2016,7[ 5–8],7[ 4–9],6[ 5–7]
Cabo Verde, Chronic obstructive pulmonary disease,2016,6[ 5–9],6[ 3–8],7[ 5–10]
Cambodia, Chronic obstructive pulmonary disease,2016,8[ 6–10],9[ 4–12],7[ 6–8]
Cameroon, Chronic obstructive pulmonary disease,2016,9[ 7–10],8[ 5–11],9[ 7–10]
Canada, Chronic obstructive pulmonary disease,2016,3[ 1–6],3[ 1–6],2[ 0–5]
Central African Republic, Chronic obstructive pulmonary disease,2016,10[ 8–11],9[ 5–11],11[ 9–12]
Chad, Chronic obstructive pulmonary disease,2016,7[ 6–8],7[ 4–9],8[ 6–9]
Chile, Chronic obstructive pulmonary disease,2016,6[ 3–10],6[ 3–10],6[ 3–9]
China, Chronic obstructive pulmonary disease,2016,32[ 22–41],32[ 19–43],32[ 23–40]
Colombia, Chronic obstructive pulmonary disease,2016,5[ 3–8],5[ 3–8],5[ 3–7]
Comoros, Chronic obstructive pulmonary disease,2016,6[ 4–7],6[ 3–9],5[ 4–6]
Congo, Chronic obstructive pulmonary disease,2016,6[ 5–8],5[ 3–6],8[ 6–9]
Costa Rica, Chronic obstructive pulmonary disease,2016,5[ 3–8],5[ 3–8],5[ 3–8]
Côte d'Ivoire, Chronic obstructive pulmonary disease,2016,9[ 6–11],9[ 5–12],8[ 6–10]
Croatia, Chronic obstructive pulmonary disease,2016,10[ 5–16],11[ 5–19],8[ 4–14]
Cuba, Chronic obstructive pulmonary disease,2016,13[ 5–26],13[ 5–28],12[ 5–25]
Cyprus, Chronic obstructive pulmonary disease,2016,6[ 3–10],7[ 3–12],5[ 2–8]
Czechia, Chronic obstructive pulmonary disease,2016,7[ 3–11],8[ 4–13],5[ 2–9]
Democratic People's Republic of Korea, Chronic obstructive pulmonary disease,2016,72[ 54–86],64[ 36–86],79[ 62–91]
Democratic Republic of the Congo, Chronic obstructive pulmonary disease,2016,7[ 5–8],5[ 3–7],8[ 6–9]
Denmark, Chronic obstructive pulmonary disease,2016,8[ 3–15],8[ 3–14],8[ 3–16]
Djibouti, Chronic obstructive pulmonary disease,2016,6[ 5–8],8[ 4–10],5[ 4–6]
Dominican Republic, Chronic obstructive pulmonary disease,2016,2[ 1–4],2[ 1–4],2[ 1–3]
Ecuador, Chronic obstructive pulmonary disease,2016,4[ 2–6],4[ 2–7],3[ 2–6]
Egypt, Chronic obstructive pulmonary disease,2016,7[ 4–10],8[ 5–11],5[ 4–8]
El Salvador, Chronic obstructive pulmonary disease,2016,5[ 3–7],4[ 2–7],5[ 3–7]
Equatorial Guinea, Chronic obstructive pulmonary disease,2016,7[ 5–8],5[ 3–7],8[ 6–10]
Eritrea, Chronic obstructive pulmonary disease,2016,8[ 6–10],10[ 6–13],7[ 6–8]
Estonia, Chronic obstructive pulmonary disease,2016,3[ 1–6],4[ 1–9],2[ 0–4]
Eswatini, Chronic obstructive pulmonary disease,2016,9[ 6–11],10[ 5–15],7[ 5–9]
Ethiopia, Chronic obstructive pulmonary disease,2016,6[ 4–7],6[ 4–9],6[ 5–6]
Fiji, Chronic obstructive pulmonary disease,2016,7[ 4–9],8[ 3–13],5[ 4–7]
Finland, Chronic obstructive pulmonary disease,2016,1[ 0–3],2[ 0–4],1[ 0–2]
France, Chronic obstructive pulmonary disease,2016,4[ 2–7],5[ 2–8],3[ 1–6]
Gabon, Chronic obstructive pulmonary disease,2016,4[ 3–6],4[ 2–6],5[ 3–7]
Gambia, Chronic obstructive pulmonary disease,2016,6[ 5–7],6[ 3–8],6[ 5–7]
Georgia, Chronic obstructive pulmonary disease,2016,16[ 9–22],17[ 9–27],14[ 8–20]
Germany, Chronic obstructive pulmonary disease,2016,8[ 3–13],8[ 3–15],7[ 3–12]
Ghana, Chronic obstructive pulmonary disease,2016,6[ 4–7],5[ 3–7],6[ 5–7]
Greece, Chronic obstructive pulmonary disease,2016,12[ 5–27],12[ 5–27],12[ 5–27]
Grenada, Chronic obstructive pulmonary disease,2016,3[ 2–4],3[ 1–4],3[ 2–5]
Guatemala, Chronic obstructive pulmonary disease,2016,5[ 4–7],5[ 3–7],5[ 4–6]
Guinea, Chronic obstructive pulmonary disease,2016,9[ 6–10],8[ 4–11],9[ 8–11]
Guinea-Bissau, Chronic obstructive pulmonary disease,2016,7[ 5–8],6[ 3–8],7[ 6–8]
Guyana, Chronic obstructive pulmonary disease,2016,6[ 4–8],7[ 4–10],5[ 3–7]
Haiti, Chronic obstructive pulmonary disease,2016,9[ 6–11],10[ 5–14],8[ 7–10]
Honduras, Chronic obstructive pulmonary disease,2016,7[ 5–8],5[ 2–7],8[ 6–10]
