country,cause,year,both_sexes_death_rate,male_death_rate,female_death_rate
Afghanistan, Ischaemic heart disease,2016,39[ 33–44],42[ 36–48],35[ 30–39]
Albania, Ischaemic heart disease,2016,51[ 34–71],59[ 40–82],43[ 27–61]
Algeria, Ischaemic heart disease,2016,22[ 16–37],24[ 18–38],20[ 15–35]
Angola, Ischaemic heart disease,2016,11[ 9–12],10[ 9–12],11[ 9–12]
Antigua and Barbuda, Ischaemic heart disease,2016,13[ 10–17],15[ 12–19],11[ 8–14]
Argentina, Ischaemic heart disease,2016,13[ 9–17],15[ 11–18],12[ 8–17]
Armenia, Ischaemic heart disease,2016,50[ 36–65],56[ 43–69],45[ 31–63]
Australia, Ischaemic heart disease,2016,8[ 5–12],9[ 6–13],7[ 4–11]
Austria, Ischaemic heart disease,2016,24[ 15–33],24[ 16–31],24[ 13–36]
Azerbaijan, Ischaemic heart disease,2016,38[ 29–49],42[ 33–55],33[ 24–45]
Bahamas, Ischaemic heart disease,2016,11[ 8–13],13[ 10–15],9[ 7–12]
Bahrain, Ischaemic heart disease,2016,9[ 8–11],10[ 8–11],8[ 7–10]
Bangladesh, Ischaemic heart disease,2016,31[ 28–35],35[ 31–40],27[ 24–30]
Barbados, Ischaemic heart disease,2016,18[ 14–23],20[ 15–24],17[ 12–22]
Belarus, Ischaemic heart disease,2016,83[ 61–109],88[ 69–111],78[ 52–109]
Belgium, Ischaemic heart disease,2016,15[ 9–20],16[ 11–20],14[ 8–20]
Belize, Ischaemic heart disease,2016,14[ 11–17],17[ 14–21],11[ 9–14]
Benin, Ischaemic heart disease,2016,22[ 19–24],21[ 19–24],22[ 19–25]
Bhutan, Ischaemic heart disease,2016,37[ 28–45],39[ 29–48],34[ 25–42]
Bolivia (Plurinational State of), Ischaemic heart disease,2016,19[ 15–23],21[ 17–26],17[ 13–21]
Bosnia and Herzegovina, Ischaemic heart disease,2016,76[ 54–102],77[ 56–100],76[ 50–103]
Botswana, Ischaemic heart disease,2016,16[ 12–19],13[ 10–17],18[ 14–22]
Brazil, Ischaemic heart disease,2016,12[ 9–15],14[ 11–17],10[ 7–13]
Brunei Darussalam, Ischaemic heart disease,2016,5[ 3–7],6[ 4–8],4[ 2–5]
Bulgaria, Ischaemic heart disease,2016,79[ 54–122],84[ 61–128],74[ 48–118]
Burkina Faso, Ischaemic heart disease,2016,21[ 18–23],20[ 18–22],21[ 19–24]
Burundi, Ischaemic heart disease,2016,17[ 15–19],18[ 16–20],16[ 14–18]
