country,cause,year,both_sexes_death_rate,male_death_rate,female_death_rate
Afghanistan, Total,2016,95[ 85–104],96[ 85–106],95[ 85–104]
Albania, Total,2016,105[ 70–147],118[ 81–164],92[ 60–131]
Algeria, Total,2016,40[ 31–70],43[ 34–74],38[ 29–67]
Angola, Total,2016,67[ 58–76],65[ 55–74],69[ 60–79]
Antigua and Barbuda, Total,2016,28[ 24–34],31[ 26–37],26[ 21–31]
Argentina, Total,2016,37[ 28–49],39[ 30–51],35[ 26–48]
Armenia, Total,2016,81[ 64–102],94[ 77–117],69[ 52–90]
Australia, Total,2016,17[ 12–24],18[ 13–24],16[ 11–24]
Austria, Total,2016,39[ 28–51],39[ 30–49],38[ 26–52]
Azerbaijan, Total,2016,55[ 43–73],60[ 48–79],50[ 38–67]
Bahamas, Total,2016,22[ 18–26],24[ 21–28],19[ 15–23]
Bahrain, Total,2016,15[ 14–17],16[ 14–17],15[ 13–17]
Bangladesh, Total,2016,103[ 94–112],112[ 98–123],95[ 87–102]
Barbados, Total,2016,57[ 46–69],60[ 50–71],54[ 43–67]
Belarus, Total,2016,110[ 86–139],121[ 99–148],100[ 72–135]
Belgium, Total,2016,39[ 30–51],42[ 33–53],37[ 27–49]
Belize, Total,2016,35[ 29–42],42[ 35–50],28[ 23–33]
Benin, Total,2016,119[ 107–129],115[ 102–127],123[ 111–133]
Bhutan, Total,2016,88[ 66–106],87[ 65–107],89[ 67–108]
Bolivia (Plurinational State of), Total,2016,55[ 46–65],59[ 49–69],52[ 43–62]
Bosnia and Herzegovina, Total,2016,159[ 117–204],168[ 122–213],151[ 109–197]
Botswana, Total,2016,53[ 42–64],53[ 42–65],53[ 42–64]
Brazil, Total,2016,31[ 24–41],34[ 27–44],28[ 22–38]
Brunei Darussalam, Total,2016,9[ 6–11],10[ 7–13],7[ 5–10]
Bulgaria, Total,2016,141[ 103–230],153[ 116–249],129[ 89–218]
Burkina Faso, Total,2016,93[ 84–101],89[ 80–97],96[ 87–105]
Burundi, Total,2016,100[ 91–109],103[ 92–112],98[ 89–106]
Cabo Verde, Total,2016,69[ 56–91],67[ 54–88],71[ 57–96]
Cambodia, Total,2016,87[ 80–95],84[ 76–92],90[ 82–99]
Cameroon, Total,2016,118[ 103–131],124[ 108–138],111[ 98–123]
Canada, Total,2016,15[ 10–21],16[ 11–21],14[ 9–20]
Central African Republic, Total,2016,141[ 128–153],138[ 124–151],144[ 131–155]
Chad, Total,2016,181[ 160–198],187[ 165–205],175[ 156–191]
Chile, Total,2016,35[ 26–47],37[ 29–50],32[ 24–44]
China, Total,2016,140[ 107–171],144[ 110–177],135[ 103–165]
Colombia, Total,2016,34[ 27–43],38[ 30–48],31[ 24–39]
Comoros, Total,2016,94[ 84–102],98[ 88–108],89[ 80–97]
Congo, Total,2016,73[ 65–80],66[ 58–73],80[ 71–88]
Costa Rica, Total,2016,27[ 21–34],30[ 24–38],24[ 18–30]
Côte d'Ivoire, Total,2016,144[ 127–160],157[ 138–176],130[ 116–144]
Croatia, Total,2016,86[ 62–126],91[ 67–130],83[ 57–122]
Cuba, Total,2016,90[ 50–174],95[ 55–184],85[ 45–167]
Cyprus, Total,2016,33[ 26–40],39[ 31–47],26[ 20–35]
Czechia, Total,2016,64[ 49–88],69[ 54–92],60[ 43–84]
Democratic People's Republic of Korea, Total,2016,231[ 197–257],237[ 196–272],225[ 193–249]
Democratic Republic of the Congo, Total,2016,101[ 90–110],96[ 86–105],105[ 95–114]
Denmark, Total,2016,30[ 22–40],31[ 23–41],29[ 21–40]
Djibouti, Total,2016,99[ 88–108],106[ 94–116],92[ 82–100]
Dominican Republic, Total,2016,38[ 30–47],43[ 34–52],34[ 27–43]
Ecuador, Total,2016,22[ 16–31],24[ 18–33],21[ 15–29]
Egypt, Total,2016,73[ 64–91],80[ 71–98],66[ 57–84]
El Salvador, Total,2016,42[ 33–53],47[ 36–58],39[ 30–49]
Equatorial Guinea, Total,2016,100[ 75–120],97[ 73–117],104[ 77–125]
Eritrea, Total,2016,95[ 83–105],103[ 90–115],88[ 76–97]
Estonia, Total,2016,60[ 34–103],59[ 36–102],61[ 32–106]
Eswatini, Total,2016,69[ 58–79],68[ 56–79],69[ 59–79]
Ethiopia, Total,2016,82[ 75–89],87[ 79–95],77[ 70–83]
Fiji, Total,2016,76[ 55–93],97[ 70–119],55[ 39–67]
Finland, Total,2016,19[ 12–29],21[ 14–29],17[ 9–30]
France, Total,2016,25[ 19–33],27[ 21–35],23[ 17–33]
Gabon, Total,2016,51[ 39–69],48[ 37–66],53[ 41–73]
Gambia, Total,2016,97[ 89–106],106[ 95–115],89[ 81–97]
Georgia, Total,2016,184[ 133–242],197[ 146–254],172[ 122–230]
Germany, Total,2016,45[ 34–59],47[ 37–59],43[ 30–59]
Ghana, Total,2016,101[ 91–112],94[ 82–105],109[ 99–119]
Greece, Total,2016,77[ 53–159],81[ 58–168],72[ 47–151]
