Country,Rural,Urban,Total
Afghanistan,48.7 [36.5-74.6],59.9 [45.6-80.0],53.2 [40.1-75.8]
Albania,16.9 [15.3-19.4],18.2 [16.5-21.0],17.9 [16.3-20.6]
Algeria,37.6 [21.1-79.9],34.5 [17.2-73.2],35.2 [19.8-71.9]
Andorra,9.1 [7.6-10.9],11.5 [10.5-13.2],9.9 [9.8-12.6]
Angola,27.7 [16.3-53.8],28.4 [15.5-60.1],27.9 [16.0-53.8]
Antigua and Barbuda,14.9 [8.2-28.1],18.0 [10.5-34.2],17.9 [10.4-34.1]
Argentina,12.3 [9.4-21.6],11.7 [9.9-17.4],11.8 [9.8-19.0]
Armenia,23.7 [16.4-33.0],32.9 [21.0-49.0],30.5 [20.1-45.9]
Australia,6.1 [6.0-7.8],7.3 [7.6-10.0],7.2 [7.4-9.7]
Austria,10.9 [10.6-11.4],13.1 [12.7-13.5],12.4 [12.1-12.8]
Azerbaijan,17.8 [10.9-32.3],18.5 [10.7-38.6],18.2 [10.8-35.4]
Bahamas,15.6 [7.8-31.9],19.0 [8.9-37.5],17.6 [8.6-36.1]
Bahrain,70.7 [49.6-98.4],69.0 [51.5-90.6],69.0 [51.7-90.7]
Bangladesh,52.9 [44.9-64.8],58.6 [51.3-69.0],58.3 [51.0-68.7]
Barbados,20.3 [11.8-37.4],22.4 [13.5-41.3],22.2 [13.4-41.1]
Belarus,16.4 [14.0-20.0],19.3 [17.4-23.3],18.1 [16.2-21.6]
Belgium,9.4 [9.1-10.3],13.0 [12.6-13.7],12.9 [12.4-13.5]
Belize,21.2 [9.5-47.2],20.9 [8.8-46.9],21.2 [9.4-47.2]
Benin,41.3 [22.4-104.6],30.4 [18.2-55.2],33.1 [20.6-68.9]
Bhutan,35.3 [31.2-44.2],35.4 [37.7-48.1],35.3 [32.8-45.0]
Bolivia (Plurinational State of),18.4 [12.8-30.6],23.3 [17.9-33.8],20.2 [14.8-32.2]
Bosnia and Herzegovina,24.3 [21.5-27.6],29.7 [25.7-33.3],27.3 [23.7-30.7]
Botswana,21.3 [13.3-36.1],20.9 [14.0-34.2],21.2 [13.4-35.2]
Brazil,9.5 [8.3-15.2],11.8 [11.3-15.1],11.5 [10.9-14.9]
Brunei Darussalam,5.8 [4.7-7.2],5.8 [4.6-7.2],5.8 [4.7-7.2]
Bulgaria,17.7 [16.5-19.1],20.8 [20.2-22.3],18.8 [18.3-20.6]
Burkina Faso,37.2 [21.5-99.8],36.3 [18.0-103.7],36.8 [19.9-101.9]
Burundi,35.2 [15.4-90.9],35.6 [15.1-91.7],35.6 [15.1-91.6]
Cabo Verde,33.6 [16.7-62.7],31.6 [15.7-60.8],32.0 [16.0-61.1]
Cambodia,21.5 [13.7-33.9],24.9 [14.6-40.3],24.0 [14.4-38.0]
Cameroon,65.1 [40.3-114.8],65.4 [43.7-106.4],65.3 [43.0-113.4]
Canada,5.3 [5.2-5.7],6.7 [6.5-6.9],6.5 [6.3-6.7]
Central African Republic,49.0 [26.3-120.9],51.2 [21.3-130.4],49.5 [25.0-120.6]
Chad,53.6 [23.6-134.7],50.8 [20.3-135.2],53.0 [23.3-132.4]
Chile,17.8 [16.6-19.8],23.1 [21.4-24.0],21.0 [19.5-22.0]
China,35.7 [36.5-40.4],51.0 [51.0-55.3],49.2 [49.7-53.8]
Colombia,13.4 [10.2-22.0],17.2 [12.9-25.5],15.2 [11.6-23.4]
Comoros,18.4 [8.9-38.4],18.6 [9.3-38.8],18.6 [9.2-38.7]
Congo,41.4 [20.1-95.1],36.4 [14.4-114.4],38.7 [18.2-94.7]
Cook Islands,12.0 [6.7-19.2],,12.0 [6.7-19.2]
Costa Rica,12.6 [10.6-15.9],16.7 [14.7-19.0],15.9 [13.7-18.2]
Côte d'Ivoire,23.5 [14.7-50.4],23.9 [14.2-48.4],23.7 [14.5-49.6]
Croatia,15.8 [15.0-18.1],17.6 [16.2-19.3],17.0 [15.8-18.8]
Cuba,15.8 [10.1-27.7],21.6 [14.9-30.9],18.4 [12.7-28.6]
Cyprus,15.9 [13.4-19.3],17.1 [15.9-19.4],16.8 [15.2-19.4]
Czechia,13.6 [13.3-14.5],15.6 [16.2-17.0],15.1 [15.6-16.4]
Democratic People's Republic of Korea,29.0 [23.3-39.7],31.0 [23.7-45.2],30.4 [23.6-43.4]
Democratic Republic of the Congo,37.8 [22.9-72.0],37.4 [22.6-78.7],37.6 [22.7-74.0]
Denmark,9.5 [8.3-11.1],10.3 [9.5-11.4],10.1 [9.3-11.3]
Djibouti,40.1 [17.1-109.0],41.0 [15.7-110.2],40.4 [16.1-111.5]
Dominica,16.9 [9.9-32.0],18.8 [11.4-35.8],18.2 [10.8-34.4]
Dominican Republic,11.3 [5.8-22.1],13.3 [6.5-28.0],12.9 [6.4-26.7]
Ecuador,14.1 [10.9-19.1],15.5 [13.1-19.3],14.9 [12.2-19.2]
Egypt,69.4 [49.3-122.2],79.6 [53.8-138.3],79.3 [53.9-137.2]
El Salvador,20.7 [14.1-31.0],23.8 [16.3-36.9],23.4 [16.1-36.3]
Equatorial Guinea,45.5 [21.8-106.7],49.1 [22.9-123.5],45.9 [21.9-108.0]
Eritrea,42.9 [19.3-100.8],41.1 [16.5-97.4],42.4 [18.2-100.9]
Estonia,6.2 [5.4-7.4],7.0 [6.3-7.9],6.7 [6.1-7.7]
Eswatini,16.4 [10.4-25.4],16.2 [10.2-25.9],16.3 [10.3-25.6]
Ethiopia,34.9 [23.2-59.0],34.0 [22.1-57.8],34.4 [22.7-58.2]
Fiji,9.7 [4.7-19.4],10.5 [4.7-24.5],10.2 [4.7-22.1]
Finland,5.5 [5.0-5.9],6.5 [6.1-7.0],5.9 [5.5-6.2]
France,9.9 [9.7-10.3],12.4 [12.3-12.8],11.6 [11.7-12.1]
Gabon,38.8 [20.4-91.3],37.8 [16.7-85.3],38.5 [19.9-85.1]
Gambia,31.7 [16.1-73.5],32.3 [17.1-61.1],32.2 [17.5-61.8]
Georgia,17.9 [13.3-25.3],24.0 [18.4-32.1],21.2 [16.6-29.1]
Germany,10.5 [10.3-10.9],11.9 [12.0-12.4],11.7 [11.7-12.2]
Ghana,34.0 [20.1-78.0],31.1 [17.7-64.7],31.9 [18.5-66.8]
