country,cause,year,both_sexes_death_rate,male_death_rate,female_death_rate
Afghanistan, Total,2016,95[ 85–104],96[ 85–106],95[ 85–104]
Afghanistan, Lower respiratory infections,2016,31[ 26–36],29[ 24–34],33[ 27–38]
Afghanistan," Trachea, bronchus, lung cancers",2016,2[ 1–2],2[ 2–3],1[ 1–1]
Afghanistan, Ischaemic heart disease,2016,39[ 33–44],42[ 36–48],35[ 30–39]
Afghanistan, Stroke,2016,16[ 13–18],14[ 12–16],18[ 15–20]
Afghanistan, Chronic obstructive pulmonary disease,2016,7[ 5–8],7[ 4–9],7[ 6–8]
Albania, Total,2016,105[ 70–147],118[ 81–164],92[ 60–131]
Albania, Lower respiratory infections,2016,5[ 3–7],6[ 3–8],5[ 3–7]
Albania," Trachea, bronchus, lung cancers",2016,11[ 5–17],13[ 6–22],8[ 4–13]
Albania, Ischaemic heart disease,2016,51[ 34–71],59[ 40–82],43[ 27–61]
Albania, Stroke,2016,31[ 18–48],31[ 19–47],31[ 18–48]
Albania, Chronic obstructive pulmonary disease,2016,7[ 4–11],9[ 4–14],5[ 3–8]
Algeria, Total,2016,40[ 31–70],43[ 34–74],38[ 29–67]
Algeria, Lower respiratory infections,2016,7[ 5–13],7[ 4–12],7[ 5–14]
Algeria," Trachea, bronchus, lung cancers",2016,2[ 1–4],3[ 1–5],1[ 0–2]
Algeria, Ischaemic heart disease,2016,22[ 16–37],24[ 18–38],20[ 15–35]
Algeria, Stroke,2016,7[ 5–12],7[ 5–11],7[ 4–12]
Algeria, Chronic obstructive pulmonary disease,2016,3[ 2–5],4[ 2–7],2[ 1–4]
Angola, Total,2016,67[ 58–76],65[ 55–74],69[ 60–79]
Angola, Lower respiratory infections,2016,44[ 36–52],44[ 36–52],45[ 37–52]
Angola," Trachea, bronchus, lung cancers",2016,0[ 0–0],0[ 0–0],0[ 0–0]
Angola, Ischaemic heart disease,2016,11[ 9–12],10[ 9–12],11[ 9–12]
Angola, Stroke,2016,8[ 6–9],6[ 5–8],9[ 7–10]
Angola, Chronic obstructive pulmonary disease,2016,4[ 3–5],3[ 2–5],4[ 3–5]
Antigua and Barbuda, Total,2016,28[ 24–34],31[ 26–37],26[ 21–31]
Antigua and Barbuda, Lower respiratory infections,2016,6[ 3–9],7[ 3–10],5[ 3–8]
Antigua and Barbuda," Trachea, bronchus, lung cancers",2016,1[ 0–1],1[ 0–1],0[ 0–1]
Antigua and Barbuda, Ischaemic heart disease,2016,13[ 10–17],15[ 12–19],11[ 8–14]
Antigua and Barbuda, Stroke,2016,6[ 4–9],6[ 4–8],7[ 5–10]
Antigua and Barbuda, Chronic obstructive pulmonary disease,2016,2[ 1–4],3[ 1–5],2[ 1–3]
Argentina, Total,2016,37[ 28–49],39[ 30–51],35[ 26–48]
Argentina, Lower respiratory infections,2016,10[ 4–18],10[ 4–17],11[ 5–19]
Argentina," Trachea, bronchus, lung cancers",2016,2[ 1–4],3[ 1–5],1[ 1–2]
Argentina, Ischaemic heart disease,2016,13[ 9–17],15[ 11–18],12[ 8–17]
Argentina, Stroke,2016,5[ 3–8],5[ 3–7],4[ 3–8]
Argentina, Chronic obstructive pulmonary disease,2016,7[ 3–12],7[ 3–12],7[ 3–11]
Armenia, Total,2016,81[ 64–102],94[ 77–117],69[ 52–90]
Armenia, Lower respiratory infections,2016,3[ 2–4],3[ 2–5],3[ 2–4]
Armenia," Trachea, bronchus, lung cancers",2016,9[ 5–13],15[ 8–22],3[ 2–5]
Armenia, Ischaemic heart disease,2016,50[ 36–65],56[ 43–69],45[ 31–63]
Armenia, Stroke,2016,10[ 7–15],10[ 7–14],10[ 7–16]
Armenia, Chronic obstructive pulmonary disease,2016,9[ 5–13],10[ 6–15],8[ 4–12]
Australia, Total,2016,17[ 12–24],18[ 13–24],16[ 11–24]
Australia, Lower respiratory infections,2016,1[ 0–3],1[ 0–2],1[ 0–3]
Australia," Trachea, bronchus, lung cancers",2016,2[ 1–3],2[ 1–3],1[ 1–2]
Australia, Ischaemic heart disease,2016,8[ 5–12],9[ 6–13],7[ 4–11]
Australia, Stroke,2016,3[ 1–8],2[ 1–6],3[ 1–10]
Australia, Chronic obstructive pulmonary disease,2016,3[ 1–6],3[ 1–7],3[ 1–6]
Austria, Total,2016,39[ 28–51],39[ 30–49],38[ 26–52]
Austria, Lower respiratory infections,2016,2[ 1–3],1[ 1–3],2[ 1–3]
Austria," Trachea, bronchus, lung cancers",2016,4[ 2–6],4[ 2–7],3[ 1–4]
Austria, Ischaemic heart disease,2016,24[ 15–33],24[ 16–31],24[ 13–36]
Austria, Stroke,2016,5[ 2–10],4[ 2–8],5[ 2–12]
Austria, Chronic obstructive pulmonary disease,2016,5[ 2–10],6[ 2–11],5[ 2–9]
Azerbaijan, Total,2016,55[ 43–73],60[ 48–79],50[ 38–67]
Azerbaijan, Lower respiratory infections,2016,3[ 2–5],3[ 2–5],3[ 1–5]
Azerbaijan," Trachea, bronchus, lung cancers",2016,2[ 1–3],3[ 1–5],1[ 0–1]
Azerbaijan, Ischaemic heart disease,2016,38[ 29–49],42[ 33–55],33[ 24–45]
Azerbaijan, Stroke,2016,9[ 6–13],9[ 6–12],10[ 6–14]
Azerbaijan, Chronic obstructive pulmonary disease,2016,3[ 2–5],3[ 2–5],3[ 2–6]
