country,cause,year,both_sexes_death_rate,male_death_rate,female_death_rate
Afghanistan, Lower respiratory infections,2016,31[ 26–36],29[ 24–34],33[ 27–38]
Albania, Lower respiratory infections,2016,5[ 3–7],6[ 3–8],5[ 3–7]
Algeria, Lower respiratory infections,2016,7[ 5–13],7[ 4–12],7[ 5–14]
Angola, Lower respiratory infections,2016,44[ 36–52],44[ 36–52],45[ 37–52]
Antigua and Barbuda, Lower respiratory infections,2016,6[ 3–9],7[ 3–10],5[ 3–8]
Argentina, Lower respiratory infections,2016,10[ 4–18],10[ 4–17],11[ 5–19]
Armenia, Lower respiratory infections,2016,3[ 2–4],3[ 2–5],3[ 2–4]
Australia, Lower respiratory infections,2016,1[ 0–3],1[ 0–2],1[ 0–3]
Austria, Lower respiratory infections,2016,2[ 1–3],1[ 1–3],2[ 1–3]
Azerbaijan, Lower respiratory infections,2016,3[ 2–5],3[ 2–5],3[ 1–5]
Bahamas, Lower respiratory infections,2016,4[ 2–6],4[ 2–6],4[ 2–6]
Bahrain, Lower respiratory infections,2016,2[ 1–2],2[ 1–2],2[ 2–2]
Bangladesh, Lower respiratory infections,2016,13[ 11–15],14[ 11–16],13[ 11–14]
Barbados, Lower respiratory infections,2016,19[ 11–28],19[ 11–28],19[ 11–28]
Belarus, Lower respiratory infections,2016,2[ 1–3],3[ 1–4],1[ 0–1]
Belgium, Lower respiratory infections,2016,6[ 2–12],6[ 2–11],7[ 3–12]
Belize, Lower respiratory infections,2016,9[ 6–12],10[ 7–13],8[ 6–11]
Benin, Lower respiratory infections,2016,70[ 59–79],70[ 59–79],70[ 59–78]
Bhutan, Lower respiratory infections,2016,15[ 11–19],14[ 10–17],16[ 12–20]
Bolivia (Plurinational State of), Lower respiratory infections,2016,19[ 14–25],21[ 15–27],18[ 13–23]
Bosnia and Herzegovina, Lower respiratory infections,2016,5[ 3–6],5[ 3–6],5[ 3–6]
Botswana, Lower respiratory infections,2016,19[ 14–24],20[ 15–26],17[ 12–22]
Brazil, Lower respiratory infections,2016,7[ 4–12],7[ 4–12],7[ 4–12]
Brunei Darussalam, Lower respiratory infections,2016,1[ 0–2],1[ 0–2],0[ 0–1]
Bulgaria, Lower respiratory infections,2016,5[ 2–9],6[ 3–11],4[ 2–8]
Burkina Faso, Lower respiratory infections,2016,55[ 47–62],55[ 46–62],55[ 47–62]
Burundi, Lower respiratory infections,2016,61[ 52–68],63[ 54–71],59[ 50–65]
Cabo Verde, Lower respiratory infections,2016,23[ 17–31],25[ 19–33],22[ 16–29]
Cambodia, Lower respiratory infections,2016,29[ 24–33],28[ 24–33],29[ 24–33]
Cameroon, Lower respiratory infections,2016,69[ 57–79],75[ 62–86],63[ 53–71]
Canada, Lower respiratory infections,2016,1[ 0–3],1[ 0–2],1[ 0–3]
Central African Republic, Lower respiratory infections,2016,80[ 68–89],81[ 69–91],78[ 67–87]
Chad, Lower respiratory infections,2016,130[ 110–145],137[ 116–153],124[ 105–138]
Chile, Lower respiratory infections,2016,6[ 4–9],6[ 4–9],6[ 4–10]
China, Lower respiratory infections,2016,7[ 5–8],7[ 5–8],7[ 5–8]
Colombia, Lower respiratory infections,2016,5[ 3–7],5[ 3–8],5[ 3–7]
Comoros, Lower respiratory infections,2016,52[ 44–59],54[ 46–62],49[ 42–56]
Congo, Lower respiratory infections,2016,34[ 28–39],34[ 28–39],34[ 29–39]
Costa Rica, Lower respiratory infections,2016,3[ 2–5],4[ 2–5],3[ 2–4]
Côte d'Ivoire, Lower respiratory infections,2016,76[ 63–88],86[ 71–99],67[ 56–76]
Croatia, Lower respiratory infections,2016,3[ 2–5],4[ 2–6],3[ 1–5]
Cuba, Lower respiratory infections,2016,18[ 7–35],18[ 7–35],18[ 7–36]
Cyprus, Lower respiratory infections,2016,2[ 1–3],2[ 1–2],2[ 1–3]
Czechia, Lower respiratory infections,2016,6[ 3–10],6[ 3–10],6[ 3–9]
Democratic People's Republic of Korea, Lower respiratory infections,2016,12[ 10–14],12[ 10–14],12[ 10–13]
Democratic Republic of the Congo, Lower respiratory infections,2016,63[ 53–71],63[ 54–71],63[ 53–70]
Denmark, Lower respiratory infections,2016,4[ 1–7],3[ 1–7],4[ 1–8]
